postcode,zone_name,country_code
2310,Hunter Grahamstown,AU
2311,Hunter Grahamstown,AU
2312,Hunter Grahamstown,AU
2313,Hunter Grahamstown,AU
2314,Hunter Grahamstown,AU
2315,Hunter Grahamstown,AU
2316,Hunter Grahamstown,AU
2317,Hunter Grahamstown,AU
2318,Hunter Grahamstown,AU
2319,Hunter Grahamstown,AU
2320,Hunter Grahamstown,AU
2321,Hunter Grahamstown,AU
2322,Hunter Grahamstown,AU
2323,Hunter Grahamstown,AU
2324,Hunter Grahamstown,AU
2325,Hunter Grahamstown,AU
2326,Hunter Grahamstown,AU
2327,Hunter Grahamstown,AU
2328,Hunter Grahamstown,AU
2329,Hunter Grahamstown,AU
2330,Hunter Grahamstown,AU
2331,Hunter Grahamstown,AU
2332,Hunter Grahamstown,AU
2333,Hunter Grahamstown,AU
2334,Hunter Grahamstown,AU
2335,Hunter Grahamstown,AU
2336,Hunter Grahamstown,AU
2337,Hunter Grahamstown,AU
2338,Hunter Grahamstown,AU
2339,Hunter Grahamstown,AU
2340,Hunter Grahamstown,AU
3000,Melbourne metropolitan,AU
3001,Melbourne metropolitan,AU
3002,Melbourne metropolitan,AU
3003,Melbourne metropolitan,AU
3004,Melbourne metropolitan,AU
3005,Melbourne metropolitan,AU
3006,Melbourne metropolitan,AU
3007,Melbourne metropolitan,AU
3008,Melbourne metropolitan,AU
3009,Melbourne metropolitan,AU
3010,Melbourne metropolitan,AU
3011,Melbourne metropolitan,AU
3012,Melbourne metropolitan,AU
3013,Melbourne metropolitan,AU
3014,Melbourne metropolitan,AU
3015,Melbourne metropolitan,AU
3016,Melbourne metropolitan,AU
3017,Melbourne metropolitan,AU
3018,Melbourne metropolitan,AU
3019,Melbourne metropolitan,AU
3020,Melbourne metropolitan,AU
3021,Melbourne metropolitan,AU
3022,Melbourne metropolitan,AU
3023,Melbourne metropolitan,AU
3024,Melbourne metropolitan,AU
3025,Melbourne metropolitan,AU
3026,Melbourne metropolitan,AU
3027,Melbourne metropolitan,AU
3028,Melbourne metropolitan,AU
3029,Melbourne metropolitan,AU
3030,Melbourne metropolitan,AU
3031,Melbourne metropolitan,AU
3032,Melbourne metropolitan,AU
3033,Melbourne metropolitan,AU
3034,Melbourne metropolitan,AU
3035,Melbourne metropolitan,AU
3036,Melbourne metropolitan,AU
3037,Melbourne metropolitan,AU
3038,Melbourne metropolitan,AU
3039,Melbourne metropolitan,AU
3040,Melbourne metropolitan,AU
3041,Melbourne metropolitan,AU
3042,Melbourne metropolitan,AU
3043,Melbourne metropolitan,AU
3044,Melbourne metropolitan,AU
3045,Melbourne metropolitan,AU
3046,Melbourne metropolitan,AU
3047,Melbourne metropolitan,AU
3048,Melbourne metropolitan,AU
3049,Melbourne metropolitan,AU
3050,Melbourne metropolitan,AU
3051,Melbourne metropolitan,AU
3052,Melbourne metropolitan,AU
3053,Melbourne metropolitan,AU
3054,Melbourne metropolitan,AU
3055,Melbourne metropolitan,AU
3056,Melbourne metropolitan,AU
3057,Melbourne metropolitan,AU
3058,Melbourne metropolitan,AU
3059,Melbourne metropolitan,AU
3060,Melbourne metropolitan,AU
3061,Melbourne metropolitan,AU
3062,Melbourne metropolitan,AU
3063,Melbourne metropolitan,AU
3064,Melbourne metropolitan,AU
3065,Melbourne metropolitan,AU
3066,Melbourne metropolitan,AU
3067,Melbourne metropolitan,AU
3068,Melbourne metropolitan,AU
3069,Melbourne metropolitan,AU
3070,Melbourne metropolitan,AU
3071,Melbourne metropolitan,AU
3072,Melbourne metropolitan,AU
3073,Melbourne metropolitan,AU
3074,Melbourne metropolitan,AU
3075,Melbourne metropolitan,AU
3076,Melbourne metropolitan,AU
3077,Melbourne metropolitan,AU
3078,Melbourne metropolitan,AU
3079,Melbourne metropolitan,AU
3080,Melbourne metropolitan,AU
3081,Melbourne metropolitan,AU
3082,Melbourne metropolitan,AU
3083,Melbourne metropolitan,AU
3084,Melbourne metropolitan,AU
3085,Melbourne metropolitan,AU
3086,Melbourne metropolitan,AU
3087,Melbourne metropolitan,AU
3088,Melbourne metropolitan,AU
3089,Melbourne metropolitan,AU
3090,Melbourne metropolitan,AU
3091,Melbourne metropolitan,AU
3092,Melbourne metropolitan,AU
3093,Melbourne metropolitan,AU
3094,Melbourne metropolitan,AU
3095,Eltham,AU
3096,Melbourne metropolitan,AU
3097,Melbourne metropolitan,AU
3098,Melbourne metropolitan,AU
3099,Melbourne metropolitan,AU
3100,Melbourne metropolitan,AU
3101,Melbourne metropolitan,AU
3102,Melbourne metropolitan,AU
3103,Melbourne metropolitan,AU
3104,Melbourne metropolitan,AU
3105,Melbourne metropolitan,AU
3106,Melbourne metropolitan,AU
3107,Melbourne metropolitan,AU
3108,Melbourne metropolitan,AU
3109,Melbourne metropolitan,AU
3110,Melbourne metropolitan,AU
3111,Melbourne metropolitan,AU
3112,Melbourne metropolitan,AU
3113,Melbourne metropolitan,AU
3114,Melbourne metropolitan,AU
3115,Melbourne metropolitan,AU
3116,Melbourne metropolitan,AU
3117,Melbourne metropolitan,AU
3118,Melbourne metropolitan,AU
3119,Melbourne metropolitan,AU
3120,Melbourne metropolitan,AU
3121,Melbourne metropolitan,AU
3122,Melbourne metropolitan,AU
3123,Melbourne metropolitan,AU
3124,Melbourne metropolitan,AU
3125,Melbourne metropolitan,AU
3126,Melbourne metropolitan,AU
3127,Melbourne metropolitan,AU
3128,Melbourne metropolitan,AU
3129,Melbourne metropolitan,AU
3130,Melbourne metropolitan,AU
3131,Melbourne metropolitan,AU
3132,Melbourne metropolitan,AU
3133,Melbourne metropolitan,AU
3134,Melbourne metropolitan,AU
3135,Melbourne metropolitan,AU
3136,Melbourne metropolitan,AU
3137,Melbourne metropolitan,AU
3138,Melbourne metropolitan,AU
3139,Melbourne metropolitan,AU
3140,Melbourne metropolitan,AU
3141,Melbourne metropolitan,AU
3142,Melbourne metropolitan,AU
3143,Melbourne metropolitan,AU
3144,Melbourne metropolitan,AU
3145,Melbourne metropolitan,AU
3146,Melbourne metropolitan,AU
3147,Melbourne metropolitan,AU
3148,Melbourne metropolitan,AU
3149,Melbourne metropolitan,AU
3150,Melbourne metropolitan,AU
3151,Melbourne metropolitan,AU
3152,Melbourne metropolitan,AU
3153,Melbourne metropolitan,AU
3154,Melbourne metropolitan,AU
3155,Melbourne metropolitan,AU
3156,Melbourne metropolitan,AU
3157,Melbourne metropolitan,AU
3158,Melbourne metropolitan,AU
3159,Melbourne metropolitan,AU
3160,Melbourne metropolitan,AU
3161,Melbourne metropolitan,AU
3162,Melbourne metropolitan,AU
3163,Melbourne metropolitan,AU
3164,Melbourne metropolitan,AU
3165,Melbourne metropolitan,AU
3166,Melbourne metropolitan,AU
3167,Melbourne metropolitan,AU
3168,Melbourne metropolitan,AU
3169,Melbourne metropolitan,AU
3170,Melbourne metropolitan,AU
3171,Melbourne metropolitan,AU
3172,Melbourne metropolitan,AU
3173,Melbourne metropolitan,AU
3174,Melbourne metropolitan,AU
3175,Melbourne metropolitan,AU
3176,Melbourne metropolitan,AU
3177,Melbourne metropolitan,AU
3178,Melbourne metropolitan,AU
3179,Melbourne metropolitan,AU
3180,Melbourne metropolitan,AU
3181,Melbourne metropolitan,AU
3182,Melbourne metropolitan,AU
3183,Melbourne metropolitan,AU
3184,Melbourne metropolitan,AU
3185,Melbourne metropolitan,AU
3186,Melbourne metropolitan,AU
3187,Melbourne metropolitan,AU
3188,Melbourne metropolitan,AU
3189,Melbourne metropolitan,AU
3190,Melbourne metropolitan,AU
3191,Melbourne metropolitan,AU
3192,Melbourne metropolitan,AU
3193,Melbourne metropolitan,AU
3194,Melbourne metropolitan,AU
3195,Melbourne metropolitan,AU
3196,Melbourne metropolitan,AU
3197,Melbourne metropolitan,AU
3198,Melbourne metropolitan,AU
3199,Melbourne metropolitan,AU
3200,Melbourne metropolitan,AU
3201,Melbourne metropolitan,AU
3202,Melbourne metropolitan,AU
3203,Melbourne metropolitan,AU
3204,Melbourne metropolitan,AU
3205,Melbourne metropolitan,AU
3206,Melbourne metropolitan,AU
3207,Melbourne metropolitan,AU
3335,Melbourne metropolitan,AU
3336,Melbourne metropolitan,AU
3337,Melbourne metropolitan,AU
3338,Melbourne metropolitan,AU
3339,Melbourne metropolitan,AU
3340,Melbourne metropolitan,AU
3341,Melbourne metropolitan,AU
3427,Melbourne metropolitan,AU
3428,Melbourne metropolitan,AU
3429,Melbourne metropolitan,AU
3430,Melbourne metropolitan,AU
3431,Melbourne metropolitan,AU
3432,Melbourne metropolitan,AU
3433,Melbourne metropolitan,AU
3434,Melbourne metropolitan,AU
3435,Melbourne metropolitan,AU
3436,Melbourne metropolitan,AU
3437,Gisborne,AU
3440,Macedon,AU
3441,Macedon,AU
3750,Melbourne metropolitan,AU
3751,Melbourne metropolitan,AU
3752,Melbourne metropolitan,AU
3753,Melbourne metropolitan,AU
3754,Melbourne metropolitan,AU
3755,Melbourne metropolitan,AU
3756,Melbourne metropolitan,AU
3757,Melbourne metropolitan,AU
3758,Melbourne metropolitan,AU
3759,Melbourne metropolitan,AU
3760,Melbourne metropolitan,AU
3761,Melbourne metropolitan,AU
3762,Melbourne metropolitan,AU
3763,Melbourne metropolitan,AU
3764,Melbourne metropolitan,AU
3765,Melbourne metropolitan,AU
3766,Melbourne metropolitan,AU
3767,Melbourne metropolitan,AU
3768,Melbourne metropolitan,AU
3769,Melbourne metropolitan,AU
3770,Melbourne metropolitan,AU
3771,Melbourne metropolitan,AU
3772,Melbourne metropolitan,AU
3773,Melbourne metropolitan,AU
3774,Melbourne metropolitan,AU
3775,Melbourne metropolitan,AU
3777,Healesville,AU
3629,Shepparton,AU
3630,Shepparton,AU
3631,Shepparton,AU
3632,Shepparton,AU
3633,Shepparton,AU
3634,Shepparton,AU
3635,Shepparton,AU
3636,Shepparton,AU
3637,Shepparton,AU
3638,Shepparton,AU
3639,Shepparton,AU
3350,Ballarat,AU
3351,Ballarat,AU
3352,Ballarat,AU
3353,Ballarat,AU
3354,Ballarat,AU
3355,Ballarat,AU
3356,Ballarat,AU
3357,Ballarat,AU
4000,Brisbane Mount Crosby,AU
4001,Brisbane Mount Crosby,AU
4002,Brisbane Mount Crosby,AU
4003,Brisbane Mount Crosby,AU
4004,Brisbane Mount Crosby,AU
4005,Brisbane Mount Crosby,AU
4006,Brisbane Mount Crosby,AU
4007,Brisbane Mount Crosby,AU
4008,Brisbane Mount Crosby,AU
4009,Brisbane Mount Crosby,AU
4010,Brisbane Mount Crosby,AU
4011,Brisbane Mount Crosby,AU
4012,Brisbane Mount Crosby,AU
4013,Brisbane Mount Crosby,AU
4014,Brisbane Mount Crosby,AU
4015,Brisbane Mount Crosby,AU
4016,Brisbane Mount Crosby,AU
4017,Brisbane Mount Crosby,AU
4018,Brisbane Mount Crosby,AU
4019,Brisbane Mount Crosby,AU
4020,Brisbane Mount Crosby,AU
4021,Brisbane Mount Crosby,AU
4022,Brisbane Mount Crosby,AU
4023,Brisbane Mount Crosby,AU
4024,Brisbane Mount Crosby,AU
4025,Brisbane Mount Crosby,AU
4026,Brisbane Mount Crosby,AU
4027,Brisbane Mount Crosby,AU
4028,Brisbane Mount Crosby,AU
4029,Brisbane Mount Crosby,AU
4030,Brisbane Mount Crosby,AU
4031,Brisbane Mount Crosby,AU
4032,Brisbane Mount Crosby,AU
4033,Brisbane Mount Crosby,AU
4034,Brisbane Mount Crosby,AU
4035,Brisbane Mount Crosby,AU
4036,Brisbane Mount Crosby,AU
4037,Brisbane Mount Crosby,AU
4038,Brisbane Mount Crosby,AU
4039,Brisbane Mount Crosby,AU
4040,Brisbane Mount Crosby,AU
4041,Brisbane Mount Crosby,AU
4042,Brisbane Mount Crosby,AU
4043,Brisbane Mount Crosby,AU
4044,Brisbane Mount Crosby,AU
4045,Brisbane Mount Crosby,AU
4046,Brisbane Mount Crosby,AU
4047,Brisbane Mount Crosby,AU
4048,Brisbane Mount Crosby,AU
4049,Brisbane Mount Crosby,AU
4050,Brisbane Mount Crosby,AU
4051,Brisbane Mount Crosby,AU
4052,Brisbane Mount Crosby,AU
4053,Brisbane Mount Crosby,AU
4054,Brisbane Mount Crosby,AU
4055,Brisbane Mount Crosby,AU
4056,Brisbane Mount Crosby,AU
4057,Brisbane Mount Crosby,AU
4058,Brisbane Mount Crosby,AU
4059,Brisbane Mount Crosby,AU
4060,Brisbane Mount Crosby,AU
4061,Brisbane Mount Crosby,AU
4062,Brisbane Mount Crosby,AU
4063,Brisbane Mount Crosby,AU
4064,Brisbane Mount Crosby,AU
4065,Brisbane Mount Crosby,AU
4066,Brisbane Mount Crosby,AU
4067,Brisbane Mount Crosby,AU
4068,Brisbane Mount Crosby,AU
4069,Brisbane Mount Crosby,AU
4070,Brisbane Mount Crosby,AU
4071,Brisbane Mount Crosby,AU
4072,Brisbane Mount Crosby,AU
4073,Brisbane Mount Crosby,AU
4074,Brisbane Mount Crosby,AU
4075,Brisbane Mount Crosby,AU
4076,Brisbane Mount Crosby,AU
4077,Brisbane Mount Crosby,AU
4078,Brisbane Mount Crosby,AU
4079,Brisbane Mount Crosby,AU
4080,Brisbane Mount Crosby,AU
4081,Brisbane Mount Crosby,AU
4082,Brisbane Mount Crosby,AU
4083,Brisbane Mount Crosby,AU
4084,Brisbane Mount Crosby,AU
4085,Brisbane Mount Crosby,AU
4086,Brisbane Mount Crosby,AU
4087,Brisbane Mount Crosby,AU
4088,Brisbane Mount Crosby,AU
4089,Brisbane Mount Crosby,AU
4090,Brisbane Mount Crosby,AU
4091,Brisbane Mount Crosby,AU
4092,Brisbane Mount Crosby,AU
4093,Brisbane Mount Crosby,AU
4094,Brisbane Mount Crosby,AU
4095,Brisbane Mount Crosby,AU
4096,Brisbane Mount Crosby,AU
4097,Brisbane Mount Crosby,AU
4098,Brisbane Mount Crosby,AU
4099,Brisbane Mount Crosby,AU
4100,Brisbane Mount Crosby,AU
4101,Brisbane Mount Crosby,AU
4102,Brisbane Mount Crosby,AU
4103,Brisbane Mount Crosby,AU
4104,Brisbane Mount Crosby,AU
4105,Brisbane Mount Crosby,AU
4106,Brisbane Mount Crosby,AU
4107,Brisbane Mount Crosby,AU
4108,Brisbane Mount Crosby,AU
4109,Brisbane Mount Crosby,AU
4110,Brisbane Mount Crosby,AU
4111,Brisbane Mount Crosby,AU
4112,Brisbane Mount Crosby,AU
4113,Brisbane Mount Crosby,AU
4114,Logan,AU
4115,Logan,AU
4116,Logan,AU
4117,Logan,AU
4118,Logan,AU
4119,Logan,AU
4120,Logan,AU
4121,Logan,AU
4122,Logan,AU
4123,Logan,AU
4124,Logan,AU
4125,Logan,AU
4126,Logan,AU
4127,Logan,AU
4128,Logan,AU
4129,Logan,AU
4130,Logan,AU
4131,Logan,AU
4132,Logan,AU
4133,Logan,AU
4134,Brisbane Mount Crosby,AU
4135,Brisbane Mount Crosby,AU
4136,Brisbane Mount Crosby,AU
4137,Brisbane Mount Crosby,AU
4138,Brisbane Mount Crosby,AU
4139,Brisbane Mount Crosby,AU
4140,Brisbane Mount Crosby,AU
4141,Brisbane Mount Crosby,AU
4142,Brisbane Mount Crosby,AU
4143,Brisbane Mount Crosby,AU
4144,Brisbane Mount Crosby,AU
4145,Brisbane Mount Crosby,AU
4146,Brisbane Mount Crosby,AU
4147,Brisbane Mount Crosby,AU
4148,Brisbane Mount Crosby,AU
4149,Brisbane Mount Crosby,AU
4150,Brisbane Mount Crosby,AU
4151,Brisbane Mount Crosby,AU
4152,Brisbane Mount Crosby,AU
4153,Brisbane Mount Crosby,AU
4154,Brisbane Mount Crosby,AU
4155,Brisbane Mount Crosby,AU
4156,Brisbane Mount Crosby,AU
4157,Redland,AU
4158,Redland,AU
4159,Redland,AU
4160,Redland,AU
4161,Redland,AU
4162,Redland,AU
4163,Redland,AU
4164,Redland,AU
4165,Redland,AU
